Svenska;Spanska;Kategori
psykisk (trötthet);Cansancio psíquico, fatiga psíquica;Sjukvård
allmän svaghet;Debilidad general;Sjukvård
viktförändringar;Cambios de peso;Sjukvård
feber;Fiebre;Sjukvård
blekhet;Palidez;Sjukvård
illamående;Náuseas;Sjukvård
kräkningar;Vómitos;Sjukvård
kräkreflex;Arcada;Sjukvård
sjösjuka;Cinetosis, mareo;Sjukvård
åksjuka;Cinetosis, mareo de viaje;Sjukvård
hjärtklappning;Palpitación, taquicarda;Sjukvård
andnöd;Falta de aire, dificultad para respirar;Sjukvård
lufthunger;Hambre de aire;Sjukvård
hosta;Tos;Sjukvård
piper och väser;Gime, silba, pita, (estertores y sibilancias);Sjukvård
rossling (rossla);Estertor (tener o emitir estertores);Sjukvård
gny;Gemir;Sjukvård
förkylning;Resfriado;Sjukvård
torrhosta;Tos seca;Sjukvård
slemhinnor;Mucosas;Sjukvård
sköra slemhinnor (i slidan);Atrofia vaginal, vaginitis atrófica, mucosas atróficas;Sjukvård
slemmiga upphostningar;Expectoraciones mucosas, esputo mucoso;Sjukvård
yrsel;Mareo (gungande känsla), vértigo (allt snurrar);Sjukvård
svimning;Desmayo;Sjukvård
medvetande;Consciencia;Sjukvård
olustkänsla;Sensación de malestar;Sjukvård
kallsvett;Sudor frío;Sjukvård
sömnlöshet;Insomnio;Sjukvård
klåda;Picor, picazón, comezón;Sjukvård
smärta;Dolor (ömhet - sensibilidad);Sjukvård
smärtattack;Dolor agudo, dolor fuerte al instante;Sjukvård
smärtstillande (mediciner);Analgésicos;Sjukvård
värk;Dolor;Sjukvård
molande värk;Dolor sordo;Sjukvård
strålande smärta;Dolor irradiado;Sjukvård
huvudvärk;Dolor de cabeza;Sjukvård
spänningshuvudvärk;Dolor de cabeza tensional, cefalea tensional;Sjukvård
myrkrypningar;Hormigueos;Sjukvård
ont;Dolor;Sjukvård
diagnos;Diagnóstico;Sjukvård
Sjukdomshistoria (anamnes);Anamnesis, historial médico;Sjukvård
kostvanor;Costumbres alimenticias, hábitos alimenticios;Sjukvård
banta;Estar a régimen;Sjukvård
gåstavar;Bastones de marcha;Sjukvård
fertil ålder;Edad fértil;Sjukvård
auskultation;Auscultación;Sjukvård
stetoskop;Estetoscopio;Sjukvård
palpation;Palpación;Sjukvård
perkussion;Percusión;Sjukvård
inspektion;Inspección;Sjukvård
munhåla;Cavidad bucal;Sjukvård
spatel;Espátula;Sjukvård
puls och blodtryck;Pulso y tensión arterial, presión arterial o tensión;Sjukvård
neurologisk undersökning; ;Sjukvård
reflexer;Reflejos;Sjukvård
provtagningar;Análisis, toma de muestras, muestreo;Sjukvård
remiss;Volante médico, remisión , derivación;Sjukvård
remittera;derivar;Sjukvård
blod;Sangre;Sjukvård
blodprov;Muestra de sangre;Sjukvård
