Svenska;Spanska;Kategori
Skyldighet att lämna ut uppgift;Obligación de facilitar información;Migration
Skyddsstatus;Estatuto de protección;Migration
Statusförklaring;Declaración de estatuto;Migration
Internationellt skydd;Protección internacional;Migration
Flykting;Refugiado;Migration
Alternativt skyddsbehövande;Persona con necesidad de protección subsidiaria;Migration
Flyktingstatusförklaring (flyktingförklaring);Estatuto de refugiado;Migration
Alternativ skyddsstatusförklaring;Estatuto de protección subsidiaria;Migration
Internationell statusförklaring;Declaración de estatuto internacional;Migration
Återtas till Sverige;Ser readmitido/a en Suecia;Migration
Välgrundade skäl;Motivos fundados, razones bien fundadas, m;Migration
Förföljelse;Persecución;Migration
Tortyr;Tortura;Migration
Kroppsstraff;Castigo corporal o físico;Migration
Omänsklig eller förnedrande behandling;Trato inhumano o degradante /denigrante/ humillante);Migration
Bestraffning;Castigo, penalización;Migration
Väpnad konflikt;Conflicto armado;Migration
Subsidiärt skyddsbehövande;Necesitado de protección subsidiaria;Migration
Krigsbrott;Crimen de guerra;Migration
Brott mot mänskligheten;Crimen contra la humanidad;Migration
Kvotflykting;Reasentado por la ACNUR, refugiado de cuotas;Migration
Vidarebosättning;Reasentamiento;Migration
FN:s flyktingorgan/kommissariat (UNHCR);Oficina del Alto Comisionado de las Naciones Unidas para los refugiados;Migration
Särskilt tilläggsuppdrag;Asignaciones adicionales específicas;Migration
Sveriges internationella åtagande;Los compromisos internacionales de Suecia;Migration
Synnerligen allvarligt hälsotillstånd;Estado de salud excepcionalemente grave;Migration
Tillfälligt skydd;Protección temporal;Migration
Tribunalvittne;Testigo de tribunal;Migration
Tribunal;Tribunal;Migration
Torped, yrkesmördare;Sicario, matón, asesino;Migration
Asylprocess;Proceso de asilo;Migration
Asylansökan;Solicitud de asilo;Migration
Dublinförordningen;El convenio de Dublin;Migration
Säkert land;Pais seguro;Migration
Asyl;Asilo;Migration
Ansökningsenhet;Unidad de solicitud;Migration
Rättssäker prövning;Proceso jurídicamente seguro, proceso legalmente seguro;Migration
Etablera sig;Establecerse;Migration
Särbehandlas eller diskrimineras;Ser tratado de forma diferente o ser discriminado;Migration
Kvotsystem;Sistema de cuotas;Migration
Registrering av ansökan;Registro de solicitud;Migration
Asylkvitto;Comprobante de (la solicitud de) asilo;Migration
Identitet;Identidad, cédula (id-kort);Migration
Livvakt;Escolta, guardaespaldas;Migration
Legosoldat;Mercenario;Migration
Födelsebevis;Certificado de nacimiento;Migration
Militärbok;Libreta militar;Migration
Vigselbevis;Certificado de matrimonio;Migration
Asylprövning;Procedimiento de asilo;Migration
Styrka;Corroborar, comprobar, certificar, autenticar, autentificar;Migration
Sannolik;Verídico, probable;Migration
Identitetshandling;Documento/cédula de identidad;Migration
Klarlägga;Aclarar, clarificar;Migration
Asylutredning;Investigación de motivos para el asilo;Migration
Fingeravtryckskontroll;Control de huellas dactilares;Migration
Samtal vid asylansökan;Entrevista de asilo;Migration
Ogrundad ansökan;Solicitud infundada/ no fundada;Migration
Språkanalys;Análisis de lenguaje/ idioma;Migration
Anpassat boende;Vivienda adaptada;Migration
Föra sin egen talan;Autorepresentación legal;Migration
Protokollförare;Encargado de levantar acta;Migration
Prövotid;Periodo de prueba;Migration
