SVENSKA;SPANSKA
3§ Grov urkundsförfalskning;Falsificación de documento con agravante
4§ Hindrande av urkunds bevisfunktion;Obstaculización de la función probatoria de documento
5§ Signaturförfalskning;Falsificación de firma
6§ Penningförfalskning;Falsificación de moneda
7§ Olovlig befattning med falska pengar;Manejo ilicito con moneda falsa
8§ Märkesförfalskning;Falsificación de marca
9§ Förfalskning av fast märke;Falsificación de marca fija
10§ Brukande av det förfalskade;Utilización de lo falsificado
11§ Olaga spridning av efterbildning;Difusión ilegal de imitaciones
1§ Mened;Perjurio
2§ Osann partutsaga;Declaración falsa
3§ Ovarsam utsaga;Declaración imprudente
4a§ Osann utsaga/ovarsam utsaga inför nordisk domstol;Declaración falsa/ imprudente ante tribunal nórdico
4b§ Osann/ovarsam utsaga inför en internationell domstol;Declaración falsa/ imprudente ante tribunal internacional
5§ Falskt eller obefogat åtal;Demanda falsa o injustificada
6§ Falsk eller obefogad angivelse;Denuncia falsa o imprudente
7§ Falsk eller vårdslös tillvitelse;Acusación falsa o imprudente
8§ Bevisförvanskning;Alteración de pruebas
9§ Underlåtenhet att avvärja rättsfel;Omisión del deber de evitar errores judiciales
10§ Osann eller vårdslös försäkran;Afirmación falsa o afirmación imprudente
11§ Osann intygande/ grovt osant intygande;Certificación falsa/ certificación falsa con gravedad
12§ Missbruk av urkund och missbruk av handling;Uso indebido de documento y falsificación de documento
13§ Förnekande av underskrift;Negación de firma propia
1§ Upplopp;Disturbio, desórden público, sedición
2§ Våldsamt upplopp;Disturbio violento, desórdenes públicos violentas, sedición violenta
3§ Ohörsamhet mot ordningsmakten;Desobediencia a las fuerzas del orden público
4§ Störande av förrättning eller av allmän sammankomst;Interrupción de diligencia o de reunión pública/acto público
5§ Uppvigling;Incitación a la sedición
6§ Myteri;Motín
8§ Hets mot folkgrupp;Agitación contra grupo étnico
9§ Olaga diskriminering;Discriminación ilícita
10§ Gravfridsbrott (tidigare: Brott mot griftefrid);Delito contra la paz sepulcral
